x,y,z,time
1.496376, 8.286332, 4.372411, 1430065030276
1.543063, 8.239047, 4.2664676, 1430065030426
1.5251064, 8.217499, 4.2155905, 1430065030606
1.5227122, 8.243835, 4.3167458, 1430065030787
1.5131354, 8.232463, 4.2838254, 1430065030967
1.4694413, 8.122928, 4.5621514, 1430065031147
1.2378023, 7.748235, 3.731962, 1430065031330
2.2625206, 8.406641, 7.215525, 1430065031508
-0.700304, 4.378995, 7.7847466, 1430065031688
-2.2242134, 5.2846017, 8.503606, 1430065031868
-2.6318262, 1.4514848, 12.108076, 1430065032048
-1.9662381, 1.1258733, 7.406463, 1430065032228
-4.1677065, 2.598906, 8.953117, 1430065032408
0.79367787, 2.220622, 7.7470384, 1430065032588
0.6901286, 2.3918076, 7.8050976, 1430065032768
0.40162733, 1.3395559, 10.514136, 1430065032949
0.54527944, 2.9628246, 9.04709, 1430065033129
-0.18914193, 3.7588966, 9.303269, 1430065033309
-0.06703765, 4.445434, 7.00723, 1430065033489
0.21068975, 2.7898436, 9.929952, 1430065033669
1.0307038, -8.689157, 4.0557775, 1430065075650
1.3066356, -9.004593, 4.597466, 1430065075830
2.2930467, -7.569867, 6.4062853, 1430065076012
1.0444705, -4.8841715, 7.006033, 1430065076191
0.90021986, -5.781997, 6.6708446, 1430065076373
1.8082209, -9.46009, 4.289212, 1430065076551
5.0984526, -8.397064, 3.5224693, 1430065076732
3.5260606, -8.313267, 2.6719291, 1430065076912
2.4277205, -9.730036, 1.6956934, 1430065077091
2.3953989, -12.227787, 2.9334955, 1430065077271
2.5342624, -10.386047, 4.71119, 1430065077451
0.4441244, -5.7538652, 4.8548427, 1430065077632
-0.31483752, -2.7419596, 4.9039235, 1430065077812
-0.45908818, -8.483853, 6.344036, 1430065077993
2.023699, -8.2516165, 3.513491, 1430065078173
1.9297266, -8.2995, 2.6844985, 1430065078353
2.006341, -10.85531, 1.3186066, 1430065078533
-1.1360487, -12.673108, 1.3245921, 1430065078714
-2.77069, -7.3220673, 0.76075757, 1430065078894
1.9189527, -2.486977, 3.7894228, 1430065079075
-0.2100912, -10.137649, 10.878654, 1430065079253
0.7445967, -12.227787, 2.2062569, 1430065079434
1.8363527, -7.4974427, 1.0809821, 1430065079614
2.0320787, -9.497798, 1.0103531, 1430065079795
0.12509704, -15.045762, 0.40402153, 1430065079975
-1.3221979, -11.407174, 0.7697359, 1430065080154
0.9127894, -4.2634745, 2.8939912, 1430065080334
2.0530279, -6.5307837, 6.215348, 1430065080515
1.42455, -9.5492735, 2.700061, 1430065080695
4.3358994, -8.177396, 1.192911, 1430065080875
3.3375173, -8.262989, 0.95229375, 1430065081056
1.9297266, -14.713567, 0.17657238, 1430065081236
2.5659857, -11.829152, 2.0847511, 1430065081416
0.8451532, -4.003105, 3.6152446, 1430065081596
0.8074445, -5.035605, 5.3737855, 1430065081776
0.770933, -5.6341553, 3.4488475, 1430065081957
3.3423057, -8.995016, 1.3293805, 1430065082138
1.7357962, -8.602965, 1.460463, 1430065082317
1.5993267, -12.579136, 0.45549688, 1430065082497
